Brand,TYPE
Acer,ACER 50.29WH AP18C8K
Acer,ACER 58.75WH AP18E7M
ASUS,Asus 38wh C21N1518
ASUS,Asus 38WH C21N1309
ASUS,Asus 50Wh C21N1818
ASUS,Asus 42WH C31N1637
ASUS,Asus 62WH C41N2013
ASUS,AU C31N1815
ASUS,AU B31N1424
DELL,DELL 58Wh FK0VR
DELL,DELL 54wh R73TC
DELL,DELL 52wh 7V69Y
DELL,DELL 68Wh H5H20-Y
DELL,DELLL 64WH GRT01
DELL,Dell TVKGH-Y
DELL,Dell H5H20
DELL,Dell T0TRM
DELL,Dell JK6Y6
HP,HP 72.9wh BN06XL
HP,HP 96wh AI06XL
HP,HP YB06XL NEW
HP,HP 41.9WH GB02XL
HP,HP 41.9WH GM02XL
HP,HP 52.5Wh SS03XL
Lenovo,LENOVO Y460
Lenovo,LENOVO L19M3PD3
Lenovo,LENOVO 60WH L14M4P72
Lenovo,Lenovo 51WH L18L3P73
Lenovo,Lenovo 55WH L21B4P71
Lenovo,Lenovo 81Wh L23B2PK0
Panasonic,Panasonic 87WH CF-VZSU46
Panasonic,Panasonic FZ-VZSU94U
Panasonic,Panasonic FZ-VZSU95R
Apple,Mac A2171
Apple,Mac A1713
Apple,Mac A1820
Apple,Mac A1819